Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Isotopic Concentration,U,U238,92,238,0,0.959,g/gHMi,959,mg/gUi,1,1.6 %
Cooper-1,BWR,31.04 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|U,Other,U,Ci(cm243+cm244)/gHMi,,,,0.00121,,,,1,4.1 %
Cooper-1,BWR,31.2 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|Y,Activity,Y,I129,53,129,0,3.05E-8,Ci/gUi,0.1727,mg/gUi,1,2.8 %
Cooper-1,BWR,31.29 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|Z,Activity,Z,C14,6,14,0,7E-7,Ci/gUi,0.0001563,mg/gUi,1,5.6 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Ag109,47,109,0,0.109,mg/gFueli,0.1236,mg/gUi,2,19.3 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Am,95,0,0,2.09,mg/gFueli,2.371,mg/gUi,2,2.65 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Am241,95,241,0,1.41,mg/gFueli,1.599,mg/gUi,2,3.55 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Am242m,95,242,1,0.00941,mg/gFueli,0.01067,mg/gUi,2,10.6 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Am243,95,243,0,0.674,mg/gFueli,0.7646,mg/gUi,2,3.55 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Ce144,58,144,0,0.00435,mg/gFueli,0.004935,mg/gUi,2,9.78 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm,96,0,0,0.19,mg/gFueli,0.2155,mg/gUi,2,3.96 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm242,96,242,0,0.000157,mg/gFueli,0.0001781,mg/gUi,2,4.41 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm243,96,243,0,0.00349,mg/gFueli,0.003959,mg/gUi,2,43.82 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm244,96,244,0,0.177,mg/gFueli,0.2008,mg/gUi,2,4.15 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm245,96,245,0,0.00839,mg/gFueli,0.009518,mg/gUi,2,5.78 %
Dodewaard-1,BWR,36.29 GW*d/tUi,0.24 wt%,DOD-1|Y012|MOX-e4|DM2,Isotopic Concentration,DM2,Cm246,96,246,0,0.00107,mg/gFueli,0.001214,mg/gUi,2,10.84 %
